machine_id,day,vibration,temperature,pressure,load,failure
0,45,1.984,61.66,4.908,0.968,0
0,46,1.993,60.32,4.784,0.676,0
0,47,1.897,61.9,5.041,0.726,0
0,48,1.946,60.93,4.891,0.967,0
0,49,1.96,60.8,4.866,0.671,0
0,50,2.067,60.69,4.936,0.713,0
0,51,2.095,58.58,4.745,0.672,0
0,52,1.982,59.93,4.949,0.683,0
0,53,2.03,60.09,4.77,0.627,0
0,54,2.203,61.35,4.935,0.883,0
0,55,1.824,61.32,4.864,0.666,0
0,56,2.068,60.74,4.845,0.637,0
0,57,2.163,62.14,4.693,0.857,0
0,58,2.0,60.63,5.135,0.868,0
0,59,1.794,62.07,4.979,0.983,0
0,60,1.971,61.05,4.875,0.825,0
0,61,1.854,60.3,4.968,0.63,0
0,62,2.176,61.46,5.029,0.9,0
0,63,2.137,61.65,4.939,0.871,0
0,64,2.194,60.4,4.874,0.787,0
0,65,2.042,63.18,4.726,0.914,0
0,66,1.93,61.07,4.936,0.866,0
0,67,1.777,63.1,4.845,0.772,0
0,68,2.34,60.08,4.721,0.751,0
0,69,2.166,61.79,4.78,0.725,0
0,70,2.136,61.0,4.979,0.907,0
0,71,2.265,62.91,4.834,0.908,0
0,72,2.046,60.74,4.762,0.698,0
0,73,2.04,61.01,4.866,0.852,0
0,74,2.153,61.18,4.897,0.769,0
0,75,1.981,61.67,4.871,0.795,0
0,76,2.019,58.81,4.881,0.703,0
0,77,1.918,60.34,4.816,0.655,0
0,78,2.13,61.28,4.827,0.79,0
0,79,2.11,62.16,4.804,0.847,0
0,80,1.843,62.45,4.986,0.867,0
0,81,2.048,59.91,4.906,0.954,0
0,82,2.016,62.06,5.043,0.845,0
0,83,1.969,61.98,4.907,0.805,0
0,84,2.183,61.73,4.974,0.735,0
0,85,1.829,61.59,4.86,0.711,0
0,86,1.947,58.68,4.832,0.698,0
0,87,2.191,58.24,4.853,0.707,0
0,88,2.128,62.0,4.942,0.82,0
0,89,2.06,61.85,4.882,0.852,0
0,90,2.059,61.12,4.939,0.751,0
0,91,1.989,59.38,4.964,0.682,0
0,92,2.053,62.25,4.769,0.722,0
0,93,2.129,60.02,4.867,0.686,0
0,94,1.997,60.29,4.98,0.65,0
0,95,2.324,62.4,4.76,0.947,0
0,96,1.879,63.07,4.782,0.925,0
0,97,2.172,59.94,4.82,0.661,0
0,98,2.046,61.62,4.926,0.828,0
0,99,2.244,61.55,4.926,0.796,0
0,100,2.176,62.13,4.804,0.761,0
0,101,1.801,63.1,4.834,0.927,0
0,102,2.161,60.57,4.82,0.733,0
0,103,2.145,62.88,5.05,0.81,0
0,104,2.032,60.88,4.652,0.647,0
0,105,2.063,61.55,4.797,0.782,0
0,106,2.409,62.38,4.921,0.687,0
0,107,2.07,61.43,4.806,0.732,0
0,108,2.105,62.52,4.902,0.967,0
0,109,2.158,62.93,5.003,0.974,0
0,110,1.826,60.21,4.795,0.652,0
0,111,2.236,62.51,4.779,0.967,0
0,112,1.9,61.58,4.883,0.871,0
0,113,2.013,62.07,4.723,0.997,0
0,114,2.111,61.95,4.855,0.762,0
0,115,2.191,62.86,4.697,0.902,0
0,116,2.379,61.48,4.721,0.722,0
0,117,2.15,61.69,4.896,0.879,0
0,118,1.989,60.82,4.756,0.701,0
0,119,1.995,62.05,4.791,0.988,0
0,120,2.116,61.3,4.791,0.996,0
0,121,2.241,60.91,4.72,0.731,0
0,122,3.567,61.82,4.776,0.628,0
0,123,2.2,64.24,4.787,0.984,0
0,124,2.35,61.11,4.916,0.61,0
0,125,2.197,61.71,5.011,0.733,0
0,126,2.096,61.7,4.804,0.704,0
0,127,2.295,61.95,4.807,0.956,0
0,128,2.336,63.53,5.032,0.671,0
0,129,2.4,60.23,4.935,0.725,0
0,130,2.213,63.64,4.832,0.948,0
0,131,2.277,61.08,4.835,0.618,0
0,132,2.22,62.92,4.946,0.981,0
0,133,2.365,62.49,4.696,0.892,0
0,134,2.242,62.7,4.76,0.788,0
0,135,2.193,61.5,4.768,0.701,0
0,136,2.366,61.88,5.05,0.669,0
0,137,2.443,60.86,4.726,0.921,0
0,138,2.261,63.5,4.813,0.923,0
0,139,2.34,60.93,4.731,0.639,0
0,140,2.194,63.76,4.921,0.988,0
0,141,2.287,62.7,4.784,0.716,0
0,142,2.358,61.19,4.863,0.705,0
0,143,2.511,62.94,4.994,0.866,0
0,144,2.219,61.77,4.787,0.724,0
0,145,2.101,60.59,4.793,0.655,0
0,146,1.905,60.53,4.974,0.685,0
0,147,2.165,62.86,4.871,0.922,0
0,148,2.303,61.69,4.896,0.756,0
0,149,2.349,63.04,4.734,0.997,0
0,150,2.392,61.64,4.724,0.888,0
0,151,2.355,62.65,4.774,0.727,0
0,152,2.337,61.86,4.858,0.842,0
0,153,4.144,61.03,4.715,0.722,0
0,154,2.187,63.13,4.826,0.984,0
0,155,2.234,62.51,4.821,0.958,0
0,156,2.288,61.11,5.011,0.719,0
0,157,2.357,62.42,4.785,0.784,0
0,158,2.182,60.8,4.685,0.623,0
0,159,2.3,63.86,4.84,0.973,0
0,160,2.086,64.3,4.806,0.904,0
0,161,2.143,62.41,4.724,0.621,0
0,162,2.41,62.77,4.668,0.763,0
0,163,2.18,64.53,5.046,0.985,0
0,164,2.169,61.34,4.804,0.804,0
0,165,2.136,61.37,4.782,0.651,0
0,166,2.021,62.2,4.851,0.92,0
0,167,2.346,62.82,4.771,0.966,0
0,168,2.226,61.95,4.757,0.683,0
0,169,1.998,61.72,4.708,0.702,0
0,170,2.212,64.4,4.909,0.967,0
0,171,2.414,61.67,4.811,0.891,0
0,172,5.068,62.86,4.889,0.714,0
0,173,2.247,63.35,4.964,0.839,0
0,174,2.119,64.39,4.811,0.895,0
0,175,2.205,62.29,4.814,0.813,0
0,176,2.519,64.29,4.63,0.975,0
0,177,2.264,62.32,4.927,0.91,0
0,178,2.375,59.89,4.713,0.757,0
0,179,2.255,60.87,4.982,0.697,0
0,180,2.227,63.72,4.729,0.848,0
0,181,2.388,61.7,5.059,0.655,0
0,182,2.451,64.07,4.902,0.883,0
0,183,2.433,64.83,4.816,0.924,0
0,184,2.174,61.55,4.932,0.847,0
0,185,2.506,61.63,4.752,0.635,0
0,186,2.6,60.46,4.797,0.705,0
0,187,2.482,61.5,4.88,0.855,0
0,188,2.257,63.14,4.923,0.825,0
0,189,2.644,63.75,4.745,0.957,0
0,190,2.576,63.03,4.665,0.745,0
0,191,2.523,62.92,4.801,0.745,0
0,192,2.2,62.18,4.712,0.899,0
0,193,2.459,66.03,4.611,0.994,0
0,194,2.658,62.06,4.644,0.721,0
0,195,2.26,63.81,4.816,0.864,0
0,196,2.366,62.34,4.699,0.636,0
0,197,2.092,65.9,4.642,0.859,0
0,198,2.253,63.1,4.681,0.719,0
0,199,2.297,64.13,4.91,0.747,0
0,200,2.106,61.3,4.76,0.803,0
0,201,2.636,62.98,4.87,0.804,0
0,202,2.406,61.24,4.759,0.722,0
0,203,2.282,62.66,4.891,0.941,0
0,204,2.702,63.54,4.712,0.763,0
0,205,2.376,61.85,4.572,0.664,0
0,206,2.483,63.45,4.601,0.784,0
0,207,2.603,62.66,4.887,0.783,0
0,208,2.876,63.74,4.637,0.641,0
0,209,2.381,63.16,4.761,0.726,0
0,210,2.535,60.72,4.61,0.711,0
0,211,2.346,62.39,4.683,0.724,0
0,212,2.376,64.23,4.722,0.921,0
0,213,2.494,62.0,4.639,0.736,0
0,214,2.465,63.77,4.607,0.918,0
0,215,2.759,62.29,4.798,0.675,0
0,216,2.606,63.03,4.852,0.625,0
0,217,2.451,62.03,4.739,0.609,0
0,218,2.67,62.32,4.712,0.689,0
0,219,3.009,61.85,4.822,0.863,0
0,220,2.595,64.33,4.698,0.706,0
0,221,2.435,64.03,4.588,0.753,0
0,222,2.411,62.4,4.875,0.708,0
0,223,2.824,63.35,4.623,0.729,0
0,224,2.604,63.5,4.652,0.824,0
0,225,2.537,63.97,4.775,0.752,0
0,226,2.415,63.95,4.658,0.733,0
0,227,2.953,64.14,4.669,0.783,0
0,228,2.602,60.72,4.687,0.663,0
0,229,2.624,64.05,4.587,0.863,0
0,230,2.528,62.32,4.813,0.677,0
0,231,2.302,62.82,4.598,0.813,0
0,232,2.51,64.81,4.741,0.978,0
0,233,2.561,63.02,4.604,0.706,0
0,234,2.835,64.3,4.716,0.991,0
0,235,2.607,62.39,4.639,0.675,0
0,236,2.709,65.56,4.721,0.87,0
0,237,2.647,62.38,4.78,0.936,0
0,238,2.751,62.26,4.598,0.767,0
0,239,2.571,64.61,4.808,0.953,0
0,240,2.824,62.31,4.514,0.8,0
0,241,2.727,61.43,4.736,0.762,0
0,242,2.511,62.09,4.684,0.682,0
0,243,2.583,65.4,4.48,0.989,0
0,244,2.88,63.14,4.788,0.627,0
0,245,2.954,64.26,4.689,0.839,0
0,246,2.848,65.21,4.706,0.962,1
0,247,2.101,59.52,5.005,0.681,0
0,248,1.861,61.1,5.142,0.937,0
0,249,2.179,63.58,4.847,0.96,0
0,250,2.174,60.19,4.901,0.827,0
0,251,2.342,62.15,4.853,0.996,0
0,252,2.056,61.31,4.868,0.638,0
0,253,1.943,59.69,4.946,0.723,0
0,254,2.061,61.48,4.962,0.744,0
0,255,1.841,58.95,5.019,0.831,0
0,256,1.827,61.37,4.953,0.935,0
0,257,2.102,59.85,4.762,0.633,0
0,258,2.212,59.97,5.016,0.717,0
0,259,2.285,60.9,4.926,0.743,0
0,260,1.879,62.01,4.796,0.856,0
0,261,2.028,62.08,4.816,0.987,0
0,262,1.96,61.77,4.79,0.885,0
0,263,3.287,60.77,4.816,0.708,0
0,264,1.839,61.59,4.943,0.733,0
0,265,2.11,62.1,4.95,0.901,0
0,266,2.263,60.94,5.008,0.808,0
0,267,1.813,61.32,4.875,0.966,0
0,268,2.058,61.45,5.086,0.755,0
0,269,2.002,59.75,4.672,0.626,0
0,270,2.228,60.21,5.006,0.614,0
0,271,1.997,60.52,4.903,0.721,0
0,272,2.058,60.52,4.852,0.854,0
0,273,2.308,61.63,4.946,0.666,0
0,274,2.054,62.0,5.041,0.897,0
0,275,1.859,62.62,4.866,0.747,0
0,276,1.958,58.7,4.912,0.626,0
0,277,1.899,62.64,5.049,0.959,0
0,278,1.869,61.04,4.792,0.803,0
0,279,1.975,59.04,4.955,0.703,0
0,280,1.85,60.14,5.048,0.753,0
0,281,1.939,60.69,4.896,0.977,0
0,282,2.005,60.88,4.972,0.637,0
0,283,2.114,59.85,4.891,0.753,0
0,284,1.937,60.36,4.76,0.663,0
0,285,1.709,61.3,4.894,0.906,0
0,286,1.999,59.76,4.961,0.684,0
0,287,2.122,59.4,4.874,0.744,0
0,288,2.223,62.88,4.903,0.867,0
0,289,2.073,61.95,4.817,0.684,0
0,290,2.172,62.75,4.76,0.8,0
0,291,2.153,61.04,4.827,0.708,0
0,292,1.877,60.43,4.912,0.756,0
0,293,2.158,63.21,4.917,0.996,0
0,294,2.006,61.09,4.83,0.951,0
0,295,1.992,61.44,4.744,0.898,0
0,296,1.95,61.75,4.722,0.99,0
0,297,2.0,61.32,4.96,0.934,0
0,298,2.107,63.62,4.797,0.788,0
0,299,1.733,62.16,4.834,0.887,0
0,300,2.304,60.88,4.951,0.66,0
0,301,1.932,63.21,4.706,0.83,0
0,302,2.039,63.13,4.916,0.936,0
0,303,1.84,63.19,4.856,0.893,0
0,304,2.087,61.56,4.943,0.984,0
0,305,2.136,61.59,4.963,0.635,0
0,306,2.26,63.72,4.739,0.976,0
0,307,1.896,62.54,4.892,0.815,0
0,308,2.225,62.06,5.006,0.71,0
0,309,1.954,59.77,4.787,0.73,0
0,310,2.142,62.8,4.753,0.963,0
0,311,2.077,60.63,4.795,0.792,0
0,312,2.066,60.57,4.675,0.805,0
0,313,2.022,61.79,4.955,0.719,0
0,314,1.964,60.84,4.675,0.762,0
0,315,2.278,63.7,4.693,0.988,0
0,316,1.853,63.68,4.835,0.958,0
0,317,2.21,63.73,4.594,0.906,0
0,318,1.945,63.21,4.711,0.942,0
0,319,2.04,62.96,4.599,0.899,0
0,320,2.446,60.13,4.683,0.604,0
0,321,2.07,62.16,4.887,0.798,0
0,322,2.284,63.03,4.931,0.735,0
0,323,2.208,63.05,4.674,0.894,0
0,324,2.303,64.55,4.715,0.896,0
0,325,2.224,62.85,4.658,0.86,0
0,326,2.172,61.83,4.744,0.608,0
0,327,2.418,60.43,4.718,0.67,0
0,328,2.348,63.48,4.638,0.861,0
0,329,2.125,64.57,4.73,0.879,0
0,330,2.267,63.99,4.694,0.959,0
0,331,1.963,62.14,4.86,0.61,0
0,332,2.171,62.36,4.652,0.779,0
0,333,2.275,62.66,4.786,0.75,0
0,334,2.519,63.82,4.707,0.956,0
0,335,2.632,63.47,4.787,0.777,0
0,336,2.341,62.91,4.614,0.786,0
0,337,2.458,65.24,4.818,0.661,0
0,338,2.259,65.32,4.791,0.983,0
0,339,2.136,62.59,4.586,0.756,0
0,340,2.13,63.27,4.696,0.753,0
0,341,2.449,63.72,4.685,0.806,0
0,342,2.377,62.89,4.561,0.764,0
0,343,2.096,62.74,4.653,0.82,0
0,344,2.413,62.51,4.73,0.687,0
0,345,2.301,63.52,4.711,0.953,0
0,346,2.747,62.6,4.726,0.664,0
0,347,2.591,63.12,4.611,0.735,0
0,348,2.386,62.99,4.662,0.889,0
0,349,2.587,65.4,4.845,0.883,0
0,350,2.466,64.16,4.596,0.803,0
0,351,2.424,62.67,4.742,0.866,0
0,352,2.259,63.9,4.711,0.604,0
0,353,2.322,62.69,4.655,0.697,0
0,354,2.452,64.8,4.697,0.922,0
0,355,2.382,65.62,4.649,0.885,0
0,356,4.046,65.02,4.665,0.852,0
0,357,2.638,65.27,4.767,0.934,0
0,358,2.356,65.11,4.544,0.942,0
0,359,2.627,64.41,4.82,0.849,0
0,360,2.496,62.72,4.666,0.848,0
0,361,2.937,66.32,4.595,0.999,0
0,362,2.517,63.1,4.814,0.825,0
0,363,2.406,64.42,4.554,0.821,0
0,364,2.709,63.57,4.625,0.769,0
1,0,2.394,61.13,5.07,0.754,0
1,1,2.222,61.64,5.106,0.765,0
1,2,2.351,62.97,4.98,0.807,0
1,3,2.234,62.43,4.651,0.913,0
1,4,2.553,61.62,5.042,0.732,0
1,5,2.103,62.31,4.928,0.776,0
1,6,2.138,62.74,4.794,0.611,0
1,7,2.262,63.26,5.024,0.964,0
1,8,2.37,61.78,4.982,0.839,0
1,9,2.293,62.18,4.962,0.986,0
1,10,2.312,61.87,4.968,0.676,0
1,11,2.389,64.52,5.001,0.834,0
1,12,2.714,62.07,5.01,0.724,0
1,13,2.173,61.36,5.079,0.888,0
1,14,2.227,63.04,5.001,0.677,0
1,15,2.447,60.55,4.984,0.709,0
1,16,2.482,63.3,4.77,0.866,0
1,17,2.297,63.35,5.246,0.842,0
1,18,2.183,61.55,4.821,0.765,0
1,19,2.14,61.95,4.936,0.665,0
1,20,2.131,63.58,5.048,0.63,0
1,21,2.235,63.97,4.934,0.946,0
1,22,2.279,61.11,4.972,0.734,0
1,23,2.193,62.95,4.805,0.796,0
1,24,2.54,61.34,4.936,0.758,0
1,25,2.447,61.46,4.82,0.716,0
1,26,2.199,62.65,5.077,0.926,0
1,27,2.385,62.86,4.762,0.968,0
1,28,2.464,61.69,4.938,0.633,0
1,29,2.286,61.26,4.791,0.641,0
1,30,2.464,63.21,4.811,0.953,0
1,31,2.598,63.08,4.83,0.644,0
1,32,2.485,62.01,4.894,0.704,0
1,33,2.503,63.79,4.803,0.825,0
1,34,2.443,63.18,4.748,0.944,0
1,35,2.543,62.89,5.004,0.681,0
1,36,2.308,63.18,5.059,0.752,0
1,37,2.401,62.66,4.888,0.699,0
1,38,2.328,64.79,4.983,0.71,0
1,39,2.32,62.68,4.989,0.924,0
1,40,2.422,63.16,5.013,0.915,0
1,41,2.135,60.34,4.972,0.621,0
1,42,2.389,62.72,4.993,0.907,0
1,43,2.497,61.06,5.066,0.657,0
1,44,2.446,63.33,4.784,0.8,0
1,45,2.571,62.24,4.79,0.84,0
1,46,2.531,63.87,4.825,0.821,0
1,47,2.472,62.86,4.924,0.765,0
1,48,2.397,64.55,4.611,0.815,0
1,49,2.47,63.77,4.788,0.875,0
1,50,2.341,62.61,4.892,0.799,0
1,51,2.507,61.32,4.808,0.649,0
1,52,2.671,62.56,4.957,0.728,0
1,53,2.667,64.85,5.0,0.748,0
1,54,2.752,62.83,4.785,0.604,0
1,55,2.719,63.23,4.839,0.888,0
1,56,2.468,63.48,4.936,0.981,0
1,57,2.334,63.16,4.899,0.751,0
1,58,2.584,62.07,4.957,0.648,0
1,59,2.718,63.49,4.733,0.77,0
1,60,2.634,62.86,4.671,0.798,0
1,61,2.554,64.08,4.913,0.887,0
1,62,2.514,63.58,4.825,0.87,0
1,63,2.366,64.71,4.905,0.979,0
1,64,2.46,62.41,4.832,0.738,0
1,65,2.651,65.03,4.7,0.919,0
1,66,2.627,62.14,4.794,0.666,0
1,67,2.657,63.1,4.909,0.741,0
1,68,2.744,62.98,4.901,0.689,0
1,69,2.643,62.18,4.717,0.602,0
1,70,2.556,63.87,4.831,0.774,0
1,71,2.978,60.73,4.838,0.706,0
1,72,2.62,64.56,4.884,0.623,0
1,73,2.755,64.73,4.845,0.966,0
1,74,2.745,63.53,4.788,0.892,0
1,75,2.708,66.05,4.816,0.857,0
1,76,2.295,63.81,4.838,0.848,0
1,77,2.846,60.78,4.83,0.732,0
1,78,2.888,64.04,4.873,0.732,0
1,79,2.546,64.45,4.883,0.687,0
1,80,2.713,62.92,5.026,0.768,0
1,81,2.725,62.34,4.881,0.674,0
1,82,2.611,65.5,4.844,0.859,0
1,83,2.751,63.36,4.709,0.945,0
1,84,2.947,64.95,4.804,0.92,0
1,85,2.877,62.52,4.658,0.617,0
1,86,2.831,65.0,4.928,0.826,0
1,87,2.684,64.63,4.896,0.825,0
1,88,5.547,64.43,4.833,0.985,0
1,89,2.642,63.16,4.704,0.665,0
1,90,3.003,64.67,4.804,0.851,0
1,91,3.278,63.92,4.756,0.776,0
1,92,2.953,67.18,5.028,0.987,0
1,93,2.997,65.04,4.932,0.932,0
1,94,3.014,64.46,4.945,0.769,0
1,95,2.795,64.82,4.793,0.862,0
1,96,2.982,63.12,4.894,0.755,0
1,97,3.003,66.09,4.882,0.923,1
1,98,2.23,61.83,4.99,0.77,0
1,99,2.386,61.72,4.959,0.687,0
1,100,2.145,61.36,4.927,0.667,0
1,101,2.201,61.51,5.148,0.891,0
1,102,2.264,59.21,4.944,0.729,0
1,103,2.315,61.05,5.136,0.85,0
1,104,2.046,61.86,4.901,0.98,0
1,105,2.195,60.3,5.149,0.733,0
1,106,2.097,59.51,5.04,0.673,0
1,107,2.069,61.02,4.98,0.892,0
1,108,1.946,62.08,5.007,0.917,0
1,109,2.162,63.53,4.955,0.987,0
1,110,2.363,61.1,5.019,0.75,0
1,111,2.243,61.57,4.895,0.945,0
1,112,2.374,62.56,4.94,0.979,0
1,113,2.054,62.07,5.039,0.924,0
1,114,2.226,60.97,5.04,0.923,0
1,115,2.384,61.85,5.039,0.699,0
1,116,2.155,61.85,4.915,0.849,0
1,117,2.18,63.25,5.041,0.887,0
1,118,2.317,59.6,5.05,0.607,0
1,119,2.077,62.54,4.974,0.875,0
1,120,2.265,58.81,5.116,0.602,0
1,121,2.246,60.34,5.006,0.823,0
1,122,2.189,63.24,4.958,0.933,0
1,123,2.272,61.79,4.931,0.814,0
1,124,2.203,60.11,5.188,0.636,0
1,125,2.122,61.76,5.154,0.765,0
1,126,2.169,58.61,5.135,0.679,0
1,127,2.152,64.1,5.132,0.977,0
1,128,2.017,60.61,4.976,0.637,0
1,129,2.272,59.97,4.958,0.664,0
1,130,2.303,63.08,5.094,0.976,0
1,131,2.426,62.28,4.942,0.914,0
1,132,1.95,61.81,5.059,0.768,0
1,133,2.284,61.41,4.9,0.687,0
1,134,2.292,61.09,5.071,0.691,0
1,135,2.32,63.16,4.879,0.991,0
1,136,2.486,60.75,4.942,0.701,0
1,137,1.906,61.89,5.035,0.778,0
1,138,2.003,60.97,5.17,0.724,0
1,139,2.227,61.69,4.872,0.721,0
1,140,2.088,61.3,5.078,0.987,0
1,141,2.247,62.32,4.885,0.87,0
1,142,1.92,61.04,4.985,0.713,0
1,143,2.23,63.11,4.87,0.992,0
1,144,2.19,63.52,4.986,0.879,0
1,145,2.032,60.28,5.108,0.631,0
1,146,2.072,61.21,4.974,0.72,0
1,147,2.13,61.18,4.866,0.72,0
1,148,2.196,60.43,4.957,0.738,0
1,149,2.193,64.59,4.964,0.713,0
1,150,2.368,62.64,4.812,0.884,0
1,151,2.168,61.09,4.95,0.769,0
1,152,2.162,61.18,5.042,0.801,0
1,153,2.384,60.91,4.965,0.716,0
1,154,2.06,60.03,5.057,0.644,0
1,155,2.379,62.51,4.994,0.865,0
1,156,2.434,62.58,4.997,0.725,0
1,157,2.283,63.07,4.802,0.999,0
1,158,2.138,63.45,4.849,0.765,0
1,159,2.53,61.4,5.092,0.902,0
1,160,2.354,63.68,5.144,0.885,0
1,161,2.237,61.25,4.905,0.769,0
1,162,2.397,61.25,4.987,0.705,0
1,163,2.373,60.33,4.924,0.668,0
1,164,2.193,63.42,5.019,0.963,0
1,165,2.457,63.73,5.01,0.981,0
1,166,2.195,62.02,5.073,0.624,0
1,167,2.455,62.67,4.911,0.832,0
1,168,2.093,63.24,4.813,0.743,0
1,169,2.187,61.63,4.866,0.645,0
1,170,2.398,60.97,4.811,0.673,0
1,171,2.081,62.83,5.009,0.724,0
1,172,2.377,63.35,4.87,0.738,0
1,173,2.37,62.23,4.767,0.697,0
1,174,2.268,61.8,4.86,0.747,0
1,175,2.257,62.89,4.918,0.618,0
1,176,2.292,62.84,4.83,0.862,0
1,177,2.424,62.32,4.727,0.818,0
1,178,2.525,62.71,4.835,0.615,0
1,179,2.566,63.39,4.681,0.942,0
1,180,2.458,62.84,4.724,0.704,0
1,181,2.504,63.31,4.695,0.922,0
1,182,2.252,61.25,4.9,0.725,0
1,183,2.456,61.41,4.862,0.625,0
1,184,2.386,60.43,4.871,0.655,0
1,185,2.397,62.12,4.852,0.741,0
1,186,2.13,61.3,4.698,0.665,0
1,187,2.574,63.45,4.812,0.64,0
1,188,2.194,63.35,4.848,0.958,0
1,189,2.624,62.99,4.984,0.634,0
1,190,2.344,65.47,4.833,0.891,0
1,191,2.618,62.37,4.797,0.711,0
1,192,2.696,63.08,4.815,0.906,0
1,193,2.512,61.72,5.092,0.675,0
1,194,2.268,65.44,4.807,0.958,0
1,195,2.321,61.02,4.872,0.68,0
1,196,2.608,62.51,4.975,0.732,0
1,197,2.512,63.95,4.679,0.661,0
1,198,2.803,64.59,4.846,0.945,0
1,199,2.821,64.09,4.822,0.934,0
1,200,2.525,63.36,4.783,0.681,0
1,201,2.478,62.27,4.881,0.951,0
1,202,2.656,62.66,4.763,0.784,0
1,203,2.444,66.3,4.911,0.933,0
1,204,2.423,64.79,4.838,0.799,0
1,205,2.494,66.41,4.677,0.818,0
1,206,2.352,64.41,4.896,0.779,0
1,207,2.593,64.33,4.805,0.953,0
1,208,2.502,63.29,4.768,0.835,0
1,209,2.551,64.18,4.75,0.715,0
1,210,2.522,63.5,4.798,0.699,0
1,211,2.651,65.03,4.906,0.783,0
1,212,2.533,65.14,4.795,0.901,0
1,213,2.663,65.3,4.713,0.91,0
1,214,2.974,63.94,4.721,0.762,0
1,215,2.466,64.95,4.939,0.866,0
1,216,2.798,64.81,4.711,0.876,0
1,217,2.362,65.33,4.983,0.728,0
1,218,2.523,64.79,4.694,0.712,0
1,219,2.57,63.66,4.684,0.877,0
1,220,2.981,64.51,4.799,0.681,0
1,221,2.798,66.16,4.813,0.619,0
1,222,2.637,64.0,4.808,0.793,0
1,223,2.662,66.26,4.81,0.937,0
1,224,2.972,66.22,4.64,0.819,0
1,225,2.891,65.46,4.814,0.817,0
1,226,2.984,65.18,4.776,0.745,0
1,227,2.929,64.41,4.687,0.715,0
1,228,2.838,65.55,4.806,0.96,0
1,229,2.662,65.9,4.749,0.95,0
1,230,2.913,66.09,4.622,0.763,0
1,231,2.798,64.8,4.669,0.684,0
1,232,2.693,66.93,4.438,0.684,0
1,233,2.897,66.43,4.789,0.798,0
1,234,3.123,65.87,4.517,0.894,0
1,235,3.294,64.38,4.746,0.749,0
1,236,2.805,64.35,4.493,0.651,0
1,237,2.909,66.77,4.629,0.781,0
1,238,3.121,65.3,4.741,0.674,0
1,239,3.133,66.08,4.639,0.735,0
1,240,3.013,64.66,4.599,0.947,0
1,241,2.93,66.14,4.607,0.635,0
1,242,2.739,65.91,4.702,0.645,0
1,243,3.144,65.06,4.504,0.894,0
1,244,2.882,64.6,4.637,0.691,0
1,245,2.989,65.96,4.521,0.746,0
1,246,3.281,66.81,4.524,0.995,0
1,247,3.109,68.65,4.688,0.967,0
1,248,3.082,64.89,4.55,0.651,0
1,249,2.975,66.98,4.493,0.957,0
1,250,2.975,67.45,4.417,0.938,0
1,251,3.133,66.33,4.599,0.619,0
1,252,3.227,66.97,4.613,0.923,0
1,253,3.184,66.72,4.681,0.825,0
1,254,3.19,67.93,4.712,0.707,0
1,255,3.23,65.89,4.51,0.611,0
1,256,3.3,65.96,4.458,0.921,0
1,257,3.177,66.78,4.473,0.724,0
1,258,3.076,67.88,4.678,0.739,0
1,259,3.388,66.76,4.641,0.752,0
1,260,3.36,65.53,4.577,0.723,0
1,261,3.222,67.05,4.33,0.718,0
1,262,3.408,67.31,4.602,0.62,0
1,263,3.3,65.97,4.67,0.675,0
1,264,4.327,66.19,4.394,0.613,0
1,265,3.416,66.18,4.509,0.783,0
1,266,3.502,68.74,4.619,0.954,0
1,267,3.497,67.23,4.442,0.632,0
1,268,3.435,64.94,4.413,0.632,0
